fdntext,fldimp,undrfld,advknow,pubpol,comimp,undrwr,undrsoc,orgimp,undrorg
Arlington 14S,5.806451612903226,5.516129032258065,4.666666666666667,4.291666666666667,6.515151515151516,6.580645161290323,6.0606060606060606,6.2727272727272725,6.121212121212121
Boylston 14S,5.774193548387097,5.828125,5.30188679245283,5.222222222222222,5.47457627118644,5.350877192982456,5.742424242424242,5.942857142857143,5.666666666666667
Clarendon 14S,5.758974358974359,5.696969696969697,5.030487804878049,4.682758620689655,5.787564766839378,5.782383419689119,5.82,6.176470588235294,5.698979591836735
Dartmouth 14S,5.209302325581396,5.363636363636363,4.619047619047619,4.135135135135135,6.204545454545454,6.0,5.928571428571429,5.733333333333333,5.644444444444445
Kenmore 14S,5.0,4.568627450980392,3.727272727272727,3.3947368421052633,5.730769230769231,5.754716981132075,4.9423076923076925,5.788461538461538,5.137254901960785
Marlborough 14S,5.85064935064935,5.739273927392739,5.620209059233449,4.98744769874477,4.770562770562771,5.170305676855895,5.503623188405797,6.149681528662421,5.694805194805195
Peabody 14S,5.891891891891892,5.675675675675675,5.222222222222222,4.515151515151516,5.894736842105263,5.918918918918919,5.684210526315789,6.131578947368421,5.542857142857143
Roxbury 14S,6.072727272727272,6.185185185185185,5.446808510638298,4.95,6.288461538461538,6.377358490566038,6.181818181818182,6.072727272727272,6.245283018867925
Tremont 14S,5.7894736842105265,5.719047619047619,5.164021164021164,4.875,5.744565217391305,5.695652173913044,5.889400921658986,6.253393665158371,5.912195121951219
