,fldimp,undrfld,advknow,pubpol,comimp,undrwr,undrsoc,orgimp,undrorg
count,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
mean,5.6837404494805694,5.588074439016193,4.97762472960367,4.561568744523914,5.823437067445877,5.847873112816431,5.75032913801202,6.057914587725674,5.740410911622471
std,0.3455373242115468,0.44279420737942343,0.5727360415381543,0.5590153041286913,0.5112957748740303,0.44549698235044344,0.3634240822125051,0.19483174204174453,0.3260912633976846
min,5.0,4.568627450980392,3.727272727272727,3.3947368421052633,4.770562770562771,5.170305676855895,4.9423076923076925,5.733333333333333,5.137254901960785
25%,5.758974358974359,5.516129032258065,4.666666666666667,4.291666666666667,5.730769230769231,5.695652173913044,5.684210526315789,5.942857142857143,5.644444444444445
50%,5.7894736842105265,5.696969696969697,5.164021164021164,4.682758620689655,5.787564766839378,5.782383419689119,5.82,6.131578947368421,5.694805194805195
75%,5.85064935064935,5.739273927392739,5.30188679245283,4.95,6.204545454545454,6.0,5.928571428571429,6.176470588235294,5.912195121951219
max,6.072727272727272,6.185185185185185,5.620209059233449,5.222222222222222,6.515151515151516,6.580645161290323,6.181818181818182,6.2727272727272725,6.245283018867925
